ilość,active,id,variantId,sku,namePL,variantName,PL_1,CZ_5,HU_7,EN_9,DE_11,FR_13,LT_15,RU_17,RO_19,SK_21,IT_23,BG_25,UA_27,ES_29,HR_31,NL_33,ME_39,BE_35,AT_37,RS_41,IR_43,SI_45,EE_47,LV_49,PT_51,FI_53,GR_55
4,0,3852,31641,OSW-03031,PANEL LED NATYNKOWY SW 18W BIAŁY,Ciepła biała 3000K,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,3852,31642,OSW-03030,PANEL LED NATYNKOWY SW 18W BIAŁY,Neutralna 4000K,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,3852,31643,OSW-03032,PANEL LED NATYNKOWY SW 18W BIAŁY,Zimny Biały 6500K,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,3852,53564,,PANEL LED NATYNKOWY SW 18W BIAŁY,Neutralna 4500K,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,3852,,,PANEL LED NATYNKOWY SW 18W BIAŁY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,3855,31692,OSW-03004,PANEL LED NATYNKOWY OKRĄGŁY BIAŁY 12W,Ciepła biała 3000K,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,3855,31693,OSW-03003,PANEL LED NATYNKOWY OKRĄGŁY BIAŁY 12W,Neutralna 4000K,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,3855,31694,OSW-03005,PANEL LED NATYNKOWY OKRĄGŁY BIAŁY 12W,Zimny Biały 6500K,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,3855,53566,,PANEL LED NATYNKOWY OKRĄGŁY BIAŁY 12W,Neutralna 4500K,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,3855,,,PANEL LED NATYNKOWY OKRĄGŁY BIAŁY 12W,,,,,,,,,,,,,,,,,,,,,,,,,,,,
